genre|parent_genre|description|related_genre|popular_artist
Electronica/Dance|Electronic|Electronica is a genre of music that combines electronic and dance elements with various other genres such as rock, hip-hop, and pop. It is characterized by its use of synthesizers, drum machines, and other electronic instruments to create a unique sound. The genre often features repetitive beats and rhythms, and is known for its ability to create a hypnotic and trance-like atmosphere. Electronica music can be both upbeat and energetic, as well as introspective and emotional. It has gained popularity in recent years and has been embraced by a diverse audience.|trip hop|Little Dragon
World|World/Traditional|This genre incorporates a diverse range of musical styles from around the world, often blending traditional and modern elements. It features lively rhythms, intricate melodies, and powerful vocals, and is known for its ability to transport listeners to different cultures and regions. The music often incorporates instruments such as guitars, percussion, and wind instruments, and is characterized by its energetic and passionate performances.|world fusion|Fatoumata Diawara
Hip Hop/Rap|Hip Hop|Hip hop is a music genre that originated in African American and Latino communities in the 1970s. It is characterized by its rhythmic and rhyming lyrics, often accompanied by electronic beats or samples. Hip hop has evolved over the years and has become a mainstream genre with a global audience. It often addresses social and political issues and can be both uplifting and confrontational. Some of its sub-genres include trap, gangsta rap, and conscious rap.|southern hip hop|T-Pain
Science Fiction|World/Traditional|Sufi music is a genre that originated in the Islamic world and is characterized by its spiritual and mystical themes. It often features repetitive melodies and lyrics that are meant to induce a trance-like state in the listener. The genre is known for its use of traditional instruments such as the tabla and harmonium, as well as its incorporation of elements from other musical styles. Sufi music has gained popularity in recent years, with many contemporary artists incorporating it into their work.|mevlevi sufi|Ali Zafar
TV Shows|Latin|Rkt is a genre of music that combines elements of reggaeton, hip hop, and Latin pop. It is characterized by its upbeat tempo, catchy melodies, and lyrics that often focus on love, partying, and street life. Callejero Fino, Gusty dj, and Kaleb Di Masi are all prominent figures within the Rkt music scene, known for their high-energy performances and contributions to the genre's evolution.|previa|Locura Mix
Sci Fi & Fantasy|Metal|Sci-fi metal is a subgenre of heavy metal that incorporates science fiction themes and concepts into the music and lyrics. It often features complex instrumentation, intricate time signatures, and futuristic soundscapes. The genre explores themes such as artificial intelligence, space exploration, and dystopian societies. The music is characterized by its technicality and progressive nature, with a focus on creating a unique and immersive listening experience.|cosmic black metal|The Faceless
Drama|Easy Listening|Drama music is a genre that combines music with storytelling to create an emotional and engaging experience for the listener. It often features themes of love, loss, and redemption, and is known for its powerful vocals and orchestral arrangements. This particular subgenre of drama music incorporates elements of horror and science fiction, drawing inspiration from the works of Boris Karloff and H.G. Wells. It also includes performances by Rex Harrison, whose commanding presence and theatrical delivery add to the dramatic impact of the music. Overall, this genre is characterized by its ability to transport listeners to another world and evoke strong emotions through its storytelling and musical elements.|vintage radio show|Boris Karloff
Comedy|Country|Comedy music is a genre that combines humor and music to create a unique form of entertainment. It often features witty lyrics, catchy melodies, and humorous themes that poke fun at everyday life. The genre has gained popularity in recent years, with many comedians incorporating music into their acts. Some of the common themes in comedy music include food, relationships, and pop culture. The genre is known for its lighthearted and playful nature, and it is often used as a way to bring laughter and joy to audiences.|deep comedy|Tom Segura
Alternative|Rock|Alternative music is a subgenre of rock that emerged in the early 2010s. It is characterized by its raw and emotional lyrics, often dealing with themes of heartbreak, anxiety, and self-doubt. The music is typically guitar-driven, with a mix of punk and indie rock influences. The vocals are often delivered in a raw, unpolished style, adding to the genre's overall authenticity. Alternative emo bands often have a strong DIY ethos and are known for their energetic live performances.|emo|Balance And Composure
Classical|Classical|Classical music is a genre that emerged in the 18th century and is characterized by its formal structure, use of orchestral instruments, and emphasis on melody and harmony. It is often associated with the works of composers such as Bach, Mozart, and Chopin, who are known for their intricate compositions, technical skill, and emotional depth. Classical music has endured through the centuries and continues to be celebrated for its beauty and complexity.|early modern classical|Alexander Scriabin
Opera|Classical|Opera is a classical music genre that combines singing, acting, and orchestral music to tell a dramatic story. It features powerful and emotive vocals, often in foreign languages, and is known for its elaborate costumes and staging. Opera is typically performed in large theaters and requires highly trained singers and musicians. It has produced some of the most iconic and celebrated performances in music history.|italian opera|Luciano Pavarotti
